timestamp,value
2011-01-05,595.8000000000001
2011-01-06,632.7
2011-01-07,990.0
2011-01-08,1217.7
2011-01-09,499.5
2011-01-10,28.8
2011-01-11,34.2
2011-01-12,459.0
2011-01-13,762.3000000000001
2011-01-14,1067.4
2011-01-15,1431.9
2011-01-16,654.3000000000001
2011-01-17,976.5
2011-01-18,544.5
2011-01-19,550.8000000000001
2011-01-20,723.6
2011-01-21,968.4
2011-01-22,1251.0
2011-01-23,517.5
2011-01-24,599.4
2011-01-25,538.2
2011-01-26,558.9
2011-01-27,674.1
2011-01-28,966.6
2011-01-29,1256.4
2011-01-30,432.90000000000003
2011-01-31,469.8
2011-02-01,1142.1000000000001
2011-02-02,558.0
2011-02-03,688.5
2011-02-04,741.6
2011-02-05,1278.0
2011-02-06,511.2
2011-02-07,565.2
2011-02-08,627.3000000000001
2011-02-09,750.6
2011-02-10,748.8000000000001
2011-02-11,1205.1000000000001
2011-02-12,1651.5
2011-02-13,674.1
2011-02-14,886.5
2011-02-15,529.2
2011-02-16,536.4
2011-02-17,641.7
2011-02-18,1044.0
2011-02-19,1414.8
2011-02-20,543.6
2011-02-21,735.3000000000001
2011-02-22,542.7
2011-02-23,533.7
2011-02-24,724.5
2011-02-25,944.1
2011-02-26,1142.1000000000001
2011-02-27,490.5
2011-02-28,351.90000000000003
2011-03-01,806.4
2011-03-02,498.6
2011-03-03,450.0
2011-03-04,838.8000000000001
2011-03-05,1107.9
2011-03-06,450.90000000000003
2011-03-07,469.8
2011-03-08,440.1
2011-03-09,558.0
2011-03-10,650.7
2011-03-11,865.8000000000001
2011-03-12,1024.2
2011-03-13,407.7
2011-03-14,432.90000000000003
2011-03-15,438.3
2011-03-16,810.9
2011-03-17,537.3000000000001
2011-03-18,1188.9
2011-03-19,1518.3
2011-03-20,476.1
2011-03-21,537.3000000000001
2011-03-22,567.9
2011-03-23,630.9
2011-03-24,752.4
2011-03-25,839.7
2011-03-26,1023.3000000000001
2011-03-27,358.2
2011-03-28,373.5
2011-03-29,635.4
2011-03-30,871.2
2011-03-31,1118.7
2011-04-01,1253.7
2011-04-02,1558.8
2011-04-03,523.8000000000001
2011-04-04,557.1
2011-04-05,835.2
2011-04-06,706.5
2011-04-07,543.6
2011-04-08,850.5
2011-04-09,970.2
2011-04-10,454.5
2011-04-11,440.1
2011-04-12,455.40000000000003
2011-04-13,635.4
2011-04-14,589.5
2011-04-15,1028.7
2011-04-16,1266.3
2011-04-17,507.6
2011-04-18,574.2
2011-04-19,861.3000000000001
2011-04-20,804.6
2011-04-21,872.1
2011-04-22,1385.1000000000001
2011-04-23,1885.5
2011-04-25,538.2
2011-04-26,568.8000000000001
2011-04-27,622.8000000000001
2011-04-28,714.6
2011-04-29,1223.1000000000001
2011-04-30,1436.4
2011-05-01,470.7
2011-05-02,558.0
2011-05-03,962.1
2011-05-04,777.6
2011-05-05,851.4
2011-05-06,1274.4
2011-05-07,1968.3
2011-05-08,526.5
2011-05-09,548.1
2011-05-10,553.5
2011-05-11,683.1
2011-05-12,731.7
2011-05-13,1014.3000000000001
2011-05-14,1215.9
2011-05-15,494.1
2011-05-16,441.90000000000003
2011-05-17,479.7
2011-05-18,635.4
2011-05-19,821.7
2011-05-20,1068.3
2011-05-21,1144.8
2011-05-22,415.8
2011-05-23,487.8
2011-05-24,672.3000000000001
2011-05-25,669.6
2011-05-26,637.2
2011-05-27,1131.3
2011-05-28,1627.2
2011-05-29,518.4
2011-05-30,955.8000000000001
2011-05-31,552.6
2011-06-01,715.5
2011-06-02,802.8000000000001
2011-06-03,1123.2
2011-06-04,1287.9
2011-06-05,496.8
2011-06-06,450.0
2011-06-07,789.3000000000001
2011-06-08,954.9
2011-06-09,913.5
2011-06-10,1089.0
2011-06-11,1347.3
2011-06-12,542.7
2011-06-13,631.8000000000001
2011-06-14,713.7
2011-06-15,802.8000000000001
